Ticker,Total_Capitalization
NVDA,4930024243200
AAPL,3995082424320
MSFT,3848559656960
GOOGL,3396526145536
GOOG,3396526145536
AMZN,2610764447744
AVGO,1745527767040
META,1634184069120
TSLA,1518435958784
BRK-B,1029917966336
JPM,846930903040
WMT,806693109760
LLY,772275896320
ORCL,748646629376
V,658738774016
MA,495684714496
XOM,487544946688
PLTR,475583512576
NFLX,474097123328
JNJ,455043547136
AMD,415642714112
COST,403935657984
BAC,391757594624
ABBV,385180336128
HD,377838796800
PG,351374606336
GE,325884772352
CVX,317777805312
UNH,309398241280
KO,296380858368
CSCO,288106414080
IBM,287346950144
WFC,273863032832
CAT,270434140160
MS,260924014592
MU,251174240256
AXP,248489459712
CRM,247910318080
GS,243757449216
RTX,239327789056
TMUS,234942316544
PM,224669663232
APP,215576821760
ABT,214959357952
MRK,214759424000
TMO,214253355008
MCD,212960968704
DIS,202483318784
UBER,201242902528
PEP,199754711040
ANET,198195101696
LRCX,197774491648
LIN,196144857088
QCOM,195191111680
NOW,191349063680
INTC,190592352256
ISRG,189400170496
INTU,186116276224
AMAT,185697353728
C,181130838016
BX,180411662336
T,175947759616
SCHW,171574525952
APH,170559897600
NEE,169524428800
BLK,167943847936
VZ,167560757248
BKNG,163674947584
AMGN,160663322624
KLAC,159172362240
GEV,158760452096
TJX,155967242240
ACN,155096743936
BA,152794398720
DHR,152133566464
BSX,149242036224
PANW,149074051072
GILD,148779188224
ETN,148541308928
SPGI,147527188480
TXN,146706284544
ADBE,142453768192
PFE,140148817920
COF,139847647232
CRWD,136271151104
SYK,136193146880
LOW,133549236224
UNP,130714861568
HOOD,130439725056
HON,127821848576
DE,124792168448
WELL,124252831744
PGR,120798396416
IBKR,119599390720
CEG,117776900096
MDT,116333273088
PLD,115263102976
ADI,115181527040
LMT,113819951104
COP,110981013504
KKR,109516464128
VRTX,109112172544
CB,108989972480
DASH,108665544704
DELL,108579127296
ADP,105395462144
HCA,104896176128
SO,103547904000
CMCSA,101427798016
MCK,100918034432
TT,99483205632
CVS,99206144000
PH,97797054464
DUK,96658718720
CME,95735627776
NKE,95477022720
MO,94643511296
BMY,93787144192
GD,93164544000
COIN,92698148864
CDNS,92191752192
SBUX,91939971072
MMM,88448974848
NEM,88359567360
MMC,87277412352
MCO,85685518336
SHW,85508390912
SNPS,84296466432
AMT,83788881920
ICE,83411419136
NOC,83270025216
EQIX,83066404864
HWM,82894872576
UPS,81722662912
WM,80480747520
ORLY,79899295744
EMR,78549999616
RCL,78222254080
ABNB,77472301056
BK,75264892928
JCI,74855145472
MDLZ,74143997952
TDG,73734914048
CTAS,73650110464
AON,73459662848
TEL,72758804480
USB,72634081280
ECL,72621621248
GLW,71976640512
PNC,71629250560
APO,71108640768
ITW,70761193472
MAR,70736478208
WMB,70669541376
ELV,70494142464
REGN,68503830528
MSI,67739578368
CSX,67074174976
PWR,66972418048
SPG,66297901056
FTNT,66228375552
COR,65493889024
CI,65288224768
MNST,65254694912
PYPL,64812609536
RSG,64666583040
GM,64451383296
AEP,64371040256
ADSK,64185417728
AJG,64070279168
WDAY,64058638336
ZTS,63858307072
VST,63799865344
NSC,63586680832
CL,62273413120
AZO,61115555840
CMI,60306190336
SRE,59988320256
TRV,59919294464
FDX,59890216960
FCX,59871780864
HLT,59726540800
DLR,59514671104
MPC,59256602624
KMI,58266472448
EOG,57787940864
AXON,57483304960
AFL,57328586752
TFC,57092763648
DDOG,56779190272
WBD,55581085696
URI,55433310208
PSX,54853681152
STX,54645252096
LHX,54076981248
APD,53989285888
SLB,53870886912
MET,53082378240
O,53011468288
