,2024-12-31,2023-12-31,2022-12-31
Free Cash Flow,546000000.0,461000000.0,505000000.0
Repayment Of Debt,-39000000.0,-33000000.0,-24000000.0
Capital Expenditure,-296000000.0,-299000000.0,-254000000.0
Interest Paid Supplemental Data,10000000.0,17000000.0,20000000.0
Income Tax Paid Supplemental Data,22000000.0,24000000.0,11000000.0
End Cash Position,661000000.0,606000000.0,549000000.0
Beginning Cash Position,606000000.0,549000000.0,463000000.0
Effect Of Exchange Rate Changes,-36000000.0,-1000000.0,-37000000.0
Changes In Cash,91000000.0,58000000.0,123000000.0
Financing Cash Flow,-453000000.0,-378000000.0,-331000000.0
Cash Flow From Continuing Financing Activities,-453000000.0,-378000000.0,-331000000.0
Net Other Financing Charges,-414000000.0,-345000000.0,-307000000.0
Net Issuance Payments Of Debt,-39000000.0,-33000000.0,-24000000.0
Net Long Term Debt Issuance,-39000000.0,-33000000.0,-24000000.0
Long Term Debt Payments,-39000000.0,-33000000.0,-24000000.0
Investing Cash Flow,-298000000.0,-324000000.0,-305000000.0
Cash Flow From Continuing Investing Activities,-298000000.0,-324000000.0,-305000000.0
Net Other Investing Changes,-2000000.0,-36000000.0,-51000000.0
Net PPE Purchase And Sale,0.0,11000000.0,0.0
Sale Of PPE,0.0,11000000.0,0.0
Capital Expenditure Reported,-296000000.0,-299000000.0,-254000000.0
Operating Cash Flow,842000000.0,760000000.0,759000000.0
Cash Flow From Continuing Operating Activities,842000000.0,760000000.0,759000000.0
Change In Working Capital,28000000.0,-47000000.0,-130000000.0
Change In Other Working Capital,-49000000.0,82000000.0,22000000.0
Change In Other Current Assets,-3000000.0,-14000000.0,-14000000.0
Change In Payables And Accrued Expense,56000000.0,97000000.0,36000000.0
Change In Accrued Expense,44000000.0,19000000.0,-18000000.0
Change In Payable,12000000.0,78000000.0,54000000.0
Change In Account Payable,12000000.0,78000000.0,54000000.0
Change In Inventory,-16000000.0,-78000000.0,-120000000.0
Change In Receivables,40000000.0,-134000000.0,-54000000.0
Changes In Account Receivables,40000000.0,-134000000.0,-54000000.0
Other Non Cash Items,,11000000.0,2000000.0
Stock Based Compensation,17000000.0,18000000.0,17000000.0
Deferred Tax,-6000000.0,-36000000.0,6000000.0
Deferred Income Tax,-6000000.0,-36000000.0,6000000.0
Depreciation Amortization Depletion,217000000.0,221000000.0,153000000.0
Depreciation And Amortization,217000000.0,221000000.0,153000000.0
Amortization Cash Flow,42000000.0,51000000.0,7000000.0
Amortization Of Intangibles,42000000.0,51000000.0,7000000.0
Depreciation,175000000.0,170000000.0,146000000.0
Operating Gains Losses,-19000000.0,-26000000.0,-21000000.0
Earnings Losses From Equity Investments,-19000000.0,-17000000.0,-21000000.0
Gain Loss On Sale Of PPE,0.0,-9000000.0,0.0
Net Income From Continuing Operations,605000000.0,619000000.0,732000000.0
